movieId,title,avg_sentiment,tag_count,avg_rating,num_ratings
1,Toy Story (1995),0.09999999999999999,3,3.9209302325581397,215
2,Jumanji (1995),-0.08750000000000001,4,3.4318181818181817,110
3,Grumpier Old Men (1995),0.05,2,3.2596153846153846,52
5,Father of the Bride Part II (1995),0.0,2,3.0714285714285716,49
7,Sabrina (1995),0.0,1,3.185185185185185,54
11,"American President, The (1995)",0.0,2,3.6714285714285713,70
14,Nixon (1995),0.0,2,3.8333333333333335,18
16,Casino (1995),0.0,1,3.926829268292683,82
17,Sense and Sensibility (1995),0.0,1,3.7761194029850746,67
21,Get Shorty (1995),0.0,1,3.49438202247191,89
22,Copycat (1995),0.0,1,3.2222222222222223,36
25,Leaving Las Vegas (1995),0.0,1,3.625,76
26,Othello (1995),0.0,1,3.5,13
28,Persuasion (1995),0.0,2,4.2272727272727275,11
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0.0,1,4.0131578947368425,38
31,Dangerous Minds (1995),0.08,2,3.1842105263157894,38
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.0,10,3.983050847457627,177
34,Babe (1995),0.2333333333333333,3,3.65234375,128
36,Dead Man Walking (1995),0.0,2,3.8358208955223883,67
38,It Takes Two (1995),0.0,1,2.125,4
39,Clueless (1995),0.03571428571428571,7,3.293269230769231,104
40,"Cry, the Beloved Country (1995)",0.0,2,4.25,2
41,Richard III (1995),0.0,1,3.7,15
43,Restoration (1995),0.0,1,3.1875,8
45,To Die For (1995),0.0,1,3.3125,32
46,How to Make an American Quilt (1995),0.0,1,3.066666666666667,15
47,Seven (a.k.a. Se7en) (1995),0.0,3,3.9753694581280787,203
50,"Usual Suspects, The (1995)",0.0,6,4.237745098039215,204
52,Mighty Aphrodite (1995),0.0,2,3.4642857142857144,28
58,"Postman, The (Postino, Il) (1994)",0.0,1,4.027027027027027,37
62,Mr. Holland's Opus (1995),0.0,1,3.70625,80
92,Mary Reilly (1996),0.0,1,2.625,8
96,In the Bleak Midwinter (1995),0.0,1,3.5,1
101,Bottle Rocket (1996),-0.16666666666666666,3,3.782608695652174,23
104,Happy Gilmore (1996),0.0,3,3.4393939393939394,99
107,Muppet Treasure Island (1996),0.0,1,3.326923076923077,26
110,Braveheart (1995),0.24500000000000002,10,4.031645569620253,237
111,Taxi Driver (1976),0.0,1,4.105769230769231,104
116,Anne Frank Remembered (1995),0.0,1,3.9,5
122,Boomerang (1992),0.0,1,2.65625,16
140,Up Close and Personal (1996),0.0,1,3.5,16
147,"Basketball Diaries, The (1995)",0.0,4,3.466666666666667,15
150,Apollo 13 (1995),0.0,3,3.845771144278607,201
153,Batman Forever (1995),0.0,2,2.9160583941605838,137
160,Congo (1995),0.0,1,2.8771929824561404,57
161,Crimson Tide (1995),0.0,1,3.6359223300970873,103
162,Crumb (1994),0.0,1,4.205882352941177,17
175,Kids (1995),0.34545454545454546,3,3.975,20
185,"Net, The (1995)",0.0,1,3.0401785714285716,112
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0.0,1,4.125,4
215,Before Sunrise (1995),0.0,1,4.041666666666667,24
216,Billy Madison (1995),0.0,3,3.326530612244898,49
222,Circle of Friends (1995),0.0,1,3.75,16
223,Clerks (1994),0.06666666666666667,6,3.855769230769231,104
224,Don Juan DeMarco (1995),-0.05,2,3.6125,40
230,Dolores Claiborne (1995),0.0,1,3.3958333333333335,24
